"foldername";"BETRAG2018";"BUCHUNG2018";"CHECK2018";"BETRAG2019";"BUCHUNG2019";"CHECK2019";"BETRAG2020";"BUCHUNG2020";"CHECK2020";"PROBLEMS";"PATH"
"ste.jt.bank.sparh.mast.1680_mastercard.2013.betrag.unvollstaendig";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\BANK\ste.jt.bank.sparH.allg.archiv\MAST.1680.MASTERCARD_JOST_ALT\ste.jt.bank.sparh.mast.1680_mastercard.2013.betrag.unvollstaendig"
"ste.gt.bank.kskwd.tagesgeld.5317.jahr.auszug";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\BANK\ste.gt.bank.kskwd.tage.5317.tagesgeld\ste.gt.bank.kskwd.tagesgeld.5317.jahr.auszug"
"ste.gt.bank.kskwd.depo.7856_gerhard.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\BANK\ste.gt.bank.kskwd.depo.7856_gerhard_depot\ste.gt.bank.kskwd.depo.7856_gerhard.jahr.dokumente"
"pri.fa.leben.hausrat.keller.roller.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\FAMILIE\pri.fa.hausrat\pri.fa.leben.hausrat.keller.roller.jahr.dokumente"
"ste.jt.immo.o13a.objekt.zaehler.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\IMMO\3.immo.o13a\ste.jt.immo.o13a.objekt.zaehler.jahr.dokumente"
"ste.jt.bank.sparh.mast.1680_mastercard.2014.betrag";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\BANK\ste.jt.bank.sparH.allg.archiv\MAST.1680.MASTERCARD_JOST_ALT\ste.jt.bank.sparh.mast.1680_mastercard.2014.betrag"
"ste.jt.bank.sparh.mast.1680_mastercard.2015.betrag.unvollstaendig";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\BANK\ste.jt.bank.sparH.allg.archiv\MAST.1680.MASTERCARD_JOST_ALT\ste.jt.bank.sparh.mast.1680_mastercard.2015.betrag.unvollstaendig"
"ste.jt.bank.sparH.kred.xxxx_kredit_angebot.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\BANK\ste.jt.bank.sparH.kred.xxxx_kredit_angebot.jahr.dokumente"
"ste.jt.bank.sparh.mast.1680_mastercard.2016.betrag.september_fehlt";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\BANK\ste.jt.bank.sparH.allg.archiv\MAST.1680.MASTERCARD_JOST_ALT\ste.jt.bank.sparh.mast.1680_mastercard.2016.betrag.september_fehlt"
"pri.jt.belege.leben.guertel.jost.jahr.dokumente";"0,00";"0,00";"0";"0,00";"0,00";"0";"0,00";"0,00";"0";"0";"C:\Users\thome.ARCHLAND\OneDrive\data\JOST\pri.jt.privat\pri.jt.belege.leben.guertel.jost.jahr.dokumente"
